dataset,model,rmse,mae,qlike
sp500_rv,GARCH,0.00015618269662953855,6.796343510054044e-05,0.4860116487058744
sp500_rv,HAR-RV,0.00012756740594264742,3.8728229686466365e-05,0.3485806144338533
sp500_rv,ESN,0.00011712697517859287,3.6345664331570066e-05,3072.9975497674327
sp500_rv,LSTM,0.0005467539455591643,0.0002928363413414681,268094.7669399924
sp500_rv,XGBoost,0.00013142682083951346,4.0127197094808495e-05,0.39623466056578505
sp500_rv,ARIMA,0.00012543330494767282,3.8179942002510116e-05,0.3500723077969748
oxford_man_rv,GARCH,0.00015618269662953855,6.796343510054044e-05,0.4860116487058744
oxford_man_rv,HAR-RV,0.00012756740594264742,3.8728229686466365e-05,0.3485806144338533
oxford_man_rv,ESN,0.00011712697517859287,3.6345664331570066e-05,3072.9975497674327
oxford_man_rv,XGBoost,0.00013142682083951346,4.0127197094808495e-05,0.39623466056578505
oxford_man_rv,ARIMA,0.00012543330494767282,3.8179942002510116e-05,0.3500723077969748
oxford_man_rv,LSTM,0.0005467539455591643,0.0002928363413414681,268094.7669399924
vix,GARCH,0.01519656521737416,0.005339298750102102,1.4032279210507077
vix,ESN,3.3874067938254577,2.162388713195453,0.026323116863132358
vix,LSTM,1.7405653648952348,1.0059333947988658,0.0029972212669837567
vix,XGBoost,1.781653358224866,1.019430464126644,0.0031297644548583577
vix,ARIMA,1.7419557235015939,0.9743160763559283,0.002935101120786352
mackey_glass,ESN,0.00015772524738090748,0.00011778975496855406,
mackey_glass,LSTM,0.002694486180258541,0.00212997237674255,
mackey_glass,XGBoost,0.004007311541172622,0.002907066641286537,
lorenz,ESN,1.5258065723836369e-05,9.730370803710065e-06,
lorenz,LSTM,0.006791497200058029,0.0053667263898463154,
lorenz,XGBoost,0.003883427408910813,0.0025475271495458375,
