backend,validation_role,window,feature_index,job_id,observable_index,simulator,hardware,absolute_error
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,0,-0.5745647878194857,-0.5357830054000372,0.03878178241944852
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,1,-0.1315392419656189,-0.09923475685016045,0.03230448511545844
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,2,-0.18932020744685576,-0.21636721478001397,0.027047007333158207
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,3,-0.5205395101661535,-0.5126661650363682,0.007873345129785325
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,4,-0.6537167713593004,-0.6198331788693234,0.033883592489976966
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,5,-0.46647815822599115,-0.4309098770770276,0.03556828114896354
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,6,-0.27442509699552864,-0.29746085220537777,0.02303575520984913
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,7,0.2722381465588532,0.26912696918345574,0.003111177375397456
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,8,0.13170646201792102,0.17921561075807177,0.04750914874015075
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,9,0.3117499539201244,0.30570590153244215,0.006044052387682242
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,10,0.5464374797865584,0.5138686131386861,0.032568866647872285
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,11,0.513715259567616,0.46023011505752875,0.053485144510087235
ibm_marrakesh,independent replication and artifact recovery,1,3000,d9cpek9htsac739c2l80,12,0.32299810090360515,0.3060992549564339,0.016898845947171226
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,0,-0.5365779705062621,-0.5171215880893301,0.01945638241693204
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,1,-0.1720423752093717,-0.08338472924633034,0.08865764596304138
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,2,-0.13872211903579856,-0.1654927343105527,0.026770615274754134
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,3,-0.26816640406725856,-0.23906669162143615,0.029099712445822407
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,4,-0.6466807106893023,-0.6390313214307778,0.0076493892585245415
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,5,-0.42201687833355006,-0.42597402597402595,0.003957147640475889
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,6,-0.3428433647205794,-0.37604245640636846,0.03319909168578905
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,7,0.3188749028434632,0.2723169508525577,0.04655795199090551
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,8,0.20680622665007772,0.19134337928823342,0.015462847361844306
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,9,0.19259704095098482,0.1852620653866113,0.007334975564373514
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,10,0.40073003161859583,0.3565656565656566,0.04416437505293924
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,11,0.529027393424329,0.5086039672110632,0.02042342621326587
ibm_marrakesh,independent replication and artifact recovery,2,3001,d9cpeqkinv1c73ao3i20,12,0.3334769682464904,0.3119877049180328,0.02148926332845763
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,0,-0.43657595364244345,-0.3353204172876304,0.10125553635481305
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,1,-0.22574363365756564,-0.14055853523210654,0.0851850984254591
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,2,-0.1446149021022633,-0.16257494477753234,0.017960042675269045
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,3,-0.2005392549130987,-0.16334686231657822,0.03719239259652049
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,4,-0.6426222756171359,-0.6235243216515236,0.019097953965612313
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,5,-0.3151400419394391,-0.2880118767784238,0.027128165161015294
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,6,-0.42734607643239375,-0.4081897952551186,0.019156281177275136
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,7,0.3588851166438986,0.3430075847802921,0.01587753186360652
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,8,0.27211745585617997,0.2830188679245283,0.010901412068348326
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,9,0.13938902185934096,0.10276271624064033,0.03662630561870063
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,10,0.3634010874948238,0.33792841785759453,0.025472669637229273
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,11,0.4632535126548419,0.40438459129345444,0.05886892136138744
ibm_marrakesh,independent replication and artifact recovery,3,3002,d9cpf0ineu4c739m9d0g,12,0.2941103889487286,0.28731466227347613,0.006795726675252467
