model,rmse,qlike,regime_acc,sharpe,vs_HAR_pct
QRC-dual_ent_regime,0.0001073630759914,0.3581830921425462,0.75125,1.2683764790164114,15.889879467180291
QRC-dual_ent,0.0001077074318567,0.3616044096695263,0.74375,1.2081266172424476,15.620105030640206
QRC-dual_ent_regime_qlike,0.0001191914377228,0.2993940642923515,0.75,1.2614647381928716,6.623333014896035
QRC-dual_ent_qlike,0.0001204092668564,0.3062349658325757,0.7175,1.057011630981234,5.669264269538753
LSTM-log,0.00012555897245475608,0.38261157002077173,0.6576923076923077,1.71885263343879,1.6348944026974608
XGBoost-log,0.00012724878903622083,0.3790609232103883,0.6566791510611736,1.2827122910858475,0.3110623959028191
HAR-RV,0.000127645847267,0.3479936422918354,0.65875,1.268477784790633,0.0
ESN-500-log,0.0001313017899897,0.4045066049032462,0.7,1.2544604132463522,-2.864129778573337
QRC-single_long_ent,0.0001319071303913,0.373791140684505,0.72625,1.138310511862292,-3.338364087426004
Persistence,0.0001343445855744,0.6307828926335879,0.65375,1.1086583915599748,-5.247909313789183
HAR-RV-log,0.0001353957045464,0.418058223432302,0.7025,1.234748867946252,-6.071374388803396
ARIMA-log,0.000137110876514326,0.4196338889579052,0.6292134831460674,1.2916919408112608,-7.415070250995133
"GARCH(1,1)",0.00015618269860824617,0.48601165560886345,0.3146067415730337,0.6628280972559227,-22.356270848008798
